detect,MJD,BAND,CCDNUM,FIELD,PHOTPROB,FLUXCAL,FLUXCALERR,PSF_SIG1,PSF_SIG2,PSF_RATIO,SKY_SIG,SKY_SIG_T,RDNOISE,ZEROPT,ZEROPT_ERR,GAIN,XPIX,YPIX,SIM_FLUXCAL_HOSTERR,SIM_MAGOBS
0,0.6170000000000755,z ,-9,VOID        ,-9.0,4,13.86,2.03,0.0,0.0,91.67,0.0,0.35,31.71,0.005,1.0,-9.0,-9.0,0.0,31.115957
0,0.6220000000000709,z ,-9,VOID        ,-9.0,13,12.08,2.05,0.0,0.0,111.54,0.0,0.43,32.14,0.005,1.0,-9.0,-9.0,0.0,30.219555
0,0.6240000000000236,z ,-9,VOID        ,-9.0,-26,22.47,2.25,0.0,0.0,69.45,0.0,0.25,30.98,0.005,1.0,-9.0,-9.0,0.0,28.569792
0,0.6240000000000236,z ,-9,VOID        ,-9.0,24,14.85,2.17,0.0,0.0,91.31,0.0,0.35,31.7,0.005,1.0,-9.0,-9.0,0.0,24.606459
0,0.6270000000000664,z ,-9,VOID        ,-9.0,25,19.8,2.03,0.0,0.0,68.26,0.0,0.25,30.99,0.005,1.0,-9.0,-9.0,0.0,25.319765
0,0.6270000000000664,z ,-9,VOID        ,-9.0,-18,20.07,2.03,0.0,0.0,68.26,0.0,0.25,30.99,0.005,1.0,-9.0,-9.0,0.0,24.321096
0,0.6290000000000191,z ,-9,VOID        ,-9.0,12,20.6,1.98,0.0,0.0,72.76,0.0,0.25,31.0,0.005,1.0,-9.0,-9.0,0.0,30.06083
0,0.6410000000000764,Y ,-9,VOID        ,-9.0,-50,36.54,2.07,0.0,0.0,52.13,0.0,0.25,30.05,0.005,1.0,-9.0,-9.0,0.0,27.459383
0,0.6430000000000291,Y ,-9,VOID        ,-9.0,14,35.11,2.02,0.0,0.0,51.48,0.0,0.25,30.07,0.005,1.0,-9.0,-9.0,0.0,23.635733
0,0.6430000000000291,Y ,-9,VOID        ,-9.0,21,34.65,2.02,0.0,0.0,51.48,0.0,0.25,30.07,0.005,1.0,-9.0,-9.0,0.0,25.373053
0,0.6450000000000955,Y ,-9,VOID        ,-9.0,-2,36.57,2.07,0.0,0.0,53.51,0.0,0.25,30.09,0.005,1.0,-9.0,-9.0,0.0,28.700441
0,0.6520000000000437,Y ,-9,VOID        ,-9.0,-36,24.26,2.14,0.0,0.0,89.68,0.0,0.43,31.13,0.005,1.0,-9.0,-9.0,0.0,29.75811
0,0.6560000000000628,Y ,-9,VOID        ,-9.0,9,20.07,1.88,0.0,0.0,90.74,0.0,0.43,31.22,0.005,1.0,-9.0,-9.0,0.0,26.364914
0,0.6570000000000391,Y ,-9,VOID        ,-9.0,14,24.44,2.12,0.0,0.0,89.62,0.0,0.43,31.11,0.005,1.0,-9.0,-9.0,0.0,24.406128
0,0.6660000000000537,Y ,-9,VOID        ,-9.0,9,27.68,2.18,0.0,0.0,90.44,0.0,0.43,31.05,0.005,1.0,-9.0,-9.0,0.0,28.83903
0,0.6680000000000064,Y ,-9,VOID        ,-9.0,45,25.88,1.89,0.0,0.0,72.06,0.0,0.35,30.71,0.005,1.0,-9.0,-9.0,0.0,28.691763
0,0.6690000000000964,Y ,-9,VOID        ,-9.0,94,25.82,1.92,0.0,0.0,71.77,0.0,0.35,30.7,0.005,1.0,-9.0,-9.0,0.0,23.236084
0,0.6710000000000491,Y ,-9,VOID        ,-9.0,0,34.03,2.18,0.0,0.0,74.18,0.0,0.35,30.57,0.005,1.0,-9.0,-9.0,0.0,29.326817
0,0.6730000000000018,Y ,-9,VOID        ,-9.0,51,41.75,2.43,0.0,0.0,73.93,0.0,0.35,30.46,0.005,1.0,-9.0,-9.0,0.0,29.77698
0,0.6730000000000018,Y ,-9,VOID        ,-9.0,-79,41.73,2.43,0.0,0.0,73.93,0.0,0.35,30.46,0.005,1.0,-9.0,-9.0,0.0,23.665092
0,0.6880000000001019,i ,-9,VOID        ,-9.0,-2,14.51,1.97,0.0,0.0,68.74,0.0,0.25,31.31,0.005,1.0,-9.0,-9.0,0.0,25.635784
0,0.7060000000000173,z ,-9,VOID        ,-9.0,16,17.93,1.92,0.0,0.0,62.92,0.0,0.25,30.96,0.005,1.0,-9.0,-9.0,0.0,25.047556
0,0.7210000000000036,z ,-9,VOID        ,-9.0,9,15.23,1.56,0.0,0.0,68.88,0.0,0.25,31.0,0.005,1.0,-9.0,-9.0,0.0,30.288954
0,0.7210000000000036,z ,-9,VOID        ,-9.0,8,15.4,1.56,0.0,0.0,68.88,0.0,0.25,31.0,0.005,1.0,-9.0,-9.0,0.0,28.95765
0,0.7210000000000036,z ,-9,VOID        ,-9.0,-12,15.24,1.56,0.0,0.0,68.88,0.0,0.25,31.0,0.005,1.0,-9.0,-9.0,0.0,27.632912
0,0.7380000000000564,Y ,-9,VOID        ,-9.0,-17,26.06,1.58,0.0,0.0,51.18,0.0,0.25,30.11,0.005,1.0,-9.0,-9.0,0.0,27.055897
0,0.7380000000000564,Y ,-9,VOID        ,-9.0,-30,26.0,1.58,0.0,0.0,51.18,0.0,0.25,30.11,0.005,1.0,-9.0,-9.0,0.0,28.961403
0,0.7380000000000564,Y ,-9,VOID        ,-9.0,49,26.38,1.58,0.0,0.0,51.18,0.0,0.25,30.11,0.005,1.0,-9.0,-9.0,0.0,27.750895
0,0.761000000000081,Y ,-9,VOID        ,-9.0,26,17.58,1.53,0.0,0.0,69.89,0.0,0.35,30.85,0.005,1.0,-9.0,-9.0,0.0,23.515186
0,0.76400000000001,Y ,-9,VOID        ,-9.0,15,11.88,1.51,0.0,0.0,97.61,0.0,0.5,31.61,0.005,1.0,-9.0,-9.0,0.0,24.592005
0,0.76400000000001,Y ,-9,VOID        ,-9.0,-8,19.08,1.62,0.0,0.0,68.82,0.0,0.35,30.8,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.7650000000001,Y ,-9,VOID        ,-9.0,6,17.54,1.55,0.0,0.0,68.46,0.0,0.35,30.83,0.005,1.0,-9.0,-9.0,0.0,28.906773
0,0.7690000000000055,Y ,-9,VOID        ,-9.0,20,15.16,1.36,0.0,0.0,68.82,0.0,0.35,30.86,0.005,1.0,-9.0,-9.0,0.0,26.640081
0,0.7860000000000582,i ,-9,VOID        ,-9.0,13,11.65,1.57,0.0,0.0,75.16,0.0,0.25,31.39,0.005,1.0,-9.0,-9.0,0.0,25.635368
0,0.789000000000101,i ,-9,VOID        ,-9.0,-8,12.51,1.83,0.0,0.0,67.02,0.0,0.25,31.36,0.005,1.0,-9.0,-9.0,0.0,31.500463
0,0.789000000000101,i ,-9,VOID        ,-9.0,-14,12.47,1.83,0.0,0.0,67.02,0.0,0.25,31.36,0.005,1.0,-9.0,-9.0,0.0,33.276157
0,0.789000000000101,i ,-9,VOID        ,-9.0,-7,8.4,1.74,0.0,0.0,95.72,0.0,0.35,32.12,0.005,1.0,-9.0,-9.0,0.0,31.345987
0,0.7910000000000537,i ,-9,VOID        ,-9.0,-17,13.01,1.9,0.0,0.0,66.87,0.0,0.25,31.35,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.79200000000003,i ,-9,VOID        ,-9.0,44,8.31,1.73,0.0,0.0,93.95,0.0,0.35,32.11,0.005,1.0,-9.0,-9.0,0.0,23.546879
0,0.7930000000000064,i ,-9,VOID        ,-9.0,2,11.03,1.64,0.0,0.0,65.6,0.0,0.25,31.35,0.005,1.0,-9.0,-9.0,0.0,25.591757
0,0.7950000000000728,i ,-9,VOID        ,-9.0,-3,7.52,1.59,0.0,0.0,93.44,0.0,0.35,32.12,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.7970000000000255,i ,-9,VOID        ,-9.0,3,9.83,1.46,0.0,0.0,67.66,0.0,0.25,31.38,0.005,1.0,-9.0,-9.0,0.0,31.812468
0,0.8029999999999973,z ,-9,VOID        ,-9.0,26,14.32,1.54,0.0,0.0,65.68,0.0,0.25,31.0,0.005,1.0,-9.0,-9.0,0.0,25.267544
0,0.8110000000000355,z ,-9,VOID        ,-9.0,1,7.99,1.6,0.0,0.0,104.35,0.0,0.43,32.18,0.005,1.0,-9.0,-9.0,0.0,29.556816
0,0.8140000000000782,z ,-9,VOID        ,-9.0,-20,12.3,1.45,0.0,0.0,60.06,0.0,0.25,31.0,0.005,1.0,-9.0,-9.0,0.0,30.04761
1,0.8150000000000546,z ,-9,VOID        ,-9.0,26,8.05,1.63,0.0,0.0,103.07,0.0,0.43,32.18,0.005,1.0,-9.0,-9.0,0.0,23.357222
0,0.8150000000000546,z ,-9,VOID        ,-9.0,17,9.85,1.6,0.0,0.0,85.14,0.0,0.35,31.73,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.8170000000000073,z ,-9,VOID        ,-9.0,-3,10.13,1.66,0.0,0.0,84.55,0.0,0.35,31.74,0.005,1.0,-9.0,-9.0,0.0,29.506207
0,0.8180000000000973,z ,-9,VOID        ,-9.0,-5,8.17,1.66,0.0,0.0,102.48,0.0,0.43,32.18,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.8190000000000737,z ,-9,VOID        ,-9.0,-12,10.0,1.67,0.0,0.0,83.6,0.0,0.35,31.74,0.005,1.0,-9.0,-9.0,0.0,25.572401
0,0.8210000000000264,z ,-9,VOID        ,-9.0,3,8.36,1.69,0.0,0.0,103.07,0.0,0.43,32.18,0.005,1.0,-9.0,-9.0,0.0,31.315498
0,0.8220000000000027,z ,-9,VOID        ,-9.0,7,14.95,1.69,0.0,0.0,61.4,0.0,0.25,30.98,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.8380000000000791,Y ,-9,VOID        ,-9.0,5,26.54,1.71,0.0,0.0,47.02,0.0,0.25,30.08,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.8390000000000555,Y ,-9,VOID        ,-9.0,-16,27.68,1.74,0.0,0.0,47.8,0.0,0.25,30.07,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.8450000000000273,Y ,-9,VOID        ,-9.0,21,28.21,1.85,0.0,0.0,46.65,0.0,0.25,30.1,0.005,1.0,-9.0,-9.0,0.0,28.145725
0,0.8450000000000273,Y ,-9,VOID        ,-9.0,-5,27.96,1.85,0.0,0.0,46.31,0.0,0.25,30.1,0.005,1.0,-9.0,-9.0,0.0,99.0
0,0.8450000000000273,Y ,-9,VOID        ,-9.0,-26,19.33,1.8,0.0,0.0,65.82,0.0,0.35,30.85,0.005,1.0,-9.0,-9.0,0.0,29.994715
